,Book Title,Author,Description,Genre
73,Peter and the Shadow Thieves,"Dave Barry, Ridley Pearson, Greg Call (Illustrations)","In this riveting and adventure-packed follow-up to the award-winning New York Times bestseller Peter and the Starcatchers, Peter leaves the relative safety of Mollusk Island - along with his trusted companion, Tinker Bell - for the dark and dangerous streets of London. On a difficult journey across the sea, he and Tink discover the mysterious and deadly Lord Ombra, who is intent on recovering the missing starstuff - celestial dust that contains unimagined powers. In London, Peter attempts to track down the indomitable Molly, hoping that together they can combat Ombra's determined forces. But London is not Mollusk Island; Peter is not the boy he used to be; and Lord Ombra - the Shadow Master - is unlike anything Peter, or the world, has ever seen.Dave Barry and Ridley Pearson have done it again - written a compulsively readable, magical, impossible-to-put-down tale that will delight readers of all ages.","['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Middle Grade', 'Childrens', 'Magic']"
74,The Princess Bride,William Goldman,"What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitation, and only the ""good parts"" reached his ears.Now Goldman does Dad one better. He's reconstructed the ""Good Parts Version"" to delight wise kids and wide-eyed grownups everywhere.What's it about? Fencing. Fighting. True Love. Strong Hate. Harsh Revenge. A Few Giants. Lots of Bad Men. Lots of Good Men. Five or Six Beautiful Women. Beasties Monstrous and Gentle. Some Swell Escapes and Captures. Death, Lies, Truth, Miracles, and a Little Sex.In short, it's about everything.","['Fantasy', 'Classics', 'Fiction', 'Romance', 'Humor', 'Young Adult', 'Adventure']"
75,Fire,Kristin Cashore,"It is not a peaceful time in the Dells. The young King Nash clings to his throne while rebel lords in the north and south build armies to unseat him. The mountains and forests are filled with spies and thieves and lawless men.This is where Fire lives. With a wild, irresistible appearance and hair the color of flame, Fire is the last remaining human monster. Equally hated and adored, she had the unique ability to control minds, but she guards her power, unwilling to steal the secrets of innocent people. Especially when she has so many of her own.Then Prince Brigan comes to bring her to King City, The royal family needs her help to uncover the plot against the king. Far away from home, Fire begins to realize there's more to her power than she ever dreamed. Her power could save the kingdom.If only she weren't afraid of becoming the monster her father was.","['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Adventure', 'Magic']"
76,The Gashlycrumb Tinies,Edward Gorey,"The Gashlycrumb Tinies: or, After the Outing is an abecedarian book written by Edward Gorey that was first published in 1963. Gorey tells the tale of 26 children (each representing a letter of the alphabet) and their untimely deaths in rhyming dactylic couplets, accompanied by the author's distinctive black and white illustrations. It is one of Edward Gorey's best-known books, and is the most notorious amongst his roughly half-dozen mock alphabets.[2] It has been described as a ""sarcastic rebellion against a view of childhood that is sunny, idyllic, and instructive"". The morbid humor of the book comes in part from the mundane ways in which children die, such as falling down the stairs or choking on a peach. Far from illustrating the dramatic and fantastical childhood nightmares, these scenarios instead poke fun at the banal paranoias that come as a part of parenting.","['Humor', 'Fiction', 'Horror', 'Art', 'Picture Books', 'Graphic Novels', 'Poetry']"
77,A Clockwork Orange,Anthony Burgess,"In Anthony Burgess's influential nightmare vision of the future, criminals take over after dark. Teen gang leader Alex narrates in fantastically inventive slang that echoes the violent intensity of youth rebelling against society. Dazzling and transgressive, A Clockwork Orange is a frightening fable about good and evil and the meaning of human freedom. This edition includes the controversial last chapter not published in the first edition, and Burgess’s introduction, “A Clockwork Orange Resucked.”","['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Horror', 'Literature', 'Novels']"
78,Linger,Maggie Stiefvater,"the longing.Once Grace and Sam have found each other, they know they must fight to stay together. For Sam, this means a reckoning with his werewolf past. For Grace, it means facing a future that is less and less certain.the loss.Into their world comes a new wolf named Cole, whose past is full of hurt and danger. He is wrestling with his own demons, embracing the life of a wolf while denying the ties of being a human.the linger.For Grace, Sam, and Cole, life a constant struggle between two forces - wolf and human - with love baring its two sides as well. It is harrowing and euphoric, freeing and entrapping, enticing and alarming. As their world falls apart, love is what lingers. But will it be enough?","['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Werewolves', 'Fiction', 'Paranormal Romance']"
79,The Van Alen Legacy,Melissa de la Cruz,"With the stunning revelation surrounding Bliss's true identity comes the growing threat of the sinister Silver Bloods. Once left to live the glamorous life in New York City, the Blue Bloods now find themselves in an epic battle for survival. Not to worry, love is still in the air for the young vampires of the Upper East Side. Or is it? Jack and Schuyler are over. Oliver's brokenhearted. And only the cunning Mimi seems to be happily engaged. Young, fanged, and fabulous, Melissa de la Cruz's vampires unite in the fourth installment of the best-selling Blue Bloods series.","['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Angels', 'Supernatural']"
80,Zerostrata,Andersen Prunty,"After ten years, Hansel Nothing returns to his boyhood home, unable to remember anything that has happened to him since he left. Back home, he stays in Zerostrata, a treehouse in the backyard. The Nothing family is as dysfunctional and depressed as ever. His mother keeps a cat on her head and incessantly munches prescription medication. His father has left the house to pursue a career as a superhero. His brother has become a shut-in, brooding in the darkened basement. Hansel realizes, after a life of sadness, a life only half-remembered, the only thing he wants is for himself and his family to be happy. But what type of bizarre world must he enter to obtain this happiness?","['Bizarro Fiction', 'Horror', 'Fiction', 'Fantasy', 'Speculative Fiction', 'Adult Fiction', 'Surreal']"
81,The V Girl: A Coming of Age Story,Mya Robarts,"Romance set in a dystopian futureIn post-apocalyptic North America two emerging nations are at war and sexual slavery is legal. Lila Velez desperately wants to lose her virginity before the troops visit her town and take it away by force. She makes plans to seduce her only friend. Lila does not love him, but he is the only man who has shown her true affection, an affection she is willing to take as a substitute for love.Lila hides a secret that will bring her closer to Aleksey Fürst, a foreign, broody man who she distrusts because of his links to the troops and his rough, yet irresistible appearance. He offers Lila an alternative to her plans, a possibility that terrifies her…and tempts her in spite of herself.With threats looming at every turn and no way to escape, Lila fears that falling in love will only lead to more heartache. The consequences of laying down her arms for Aleksey and welcoming hope might destroy more than her heart. They might force her to face the worst of her nightmares becoming a reality. Is love possible in a world that has forgotten what the human touch is?","['Romance', 'Coming Of Age', 'Young Adult', 'Dystopia', 'Love', 'War', 'Fiction']"
82,American Psycho,Bret Easton Ellis,"Patrick Bateman is twenty-six and works on Wall Street. He is handsome, sophisticated, charming and intelligent. He is also a psychopath. Taking us to head-on collision with America's greatest dream—and its worst nightmare—American Psycho is a bleak, bitter, black comedy about a world we all recognize but do not wish to confront.","['Fiction', 'Horror', 'Classics', 'Thriller', 'Crime', 'Contemporary', 'Novels']"
83,Atlas Shrugged,"Ayn Rand, Leonard Peikoff","This is the story of a man who said that he would stop the motor of the world and did. Was he a destroyer or the greatest of liberators?Why did he have to fight his battle, not against his enemies, but against those who needed him most, and his hardest battle against the woman he loved? What is the world’s motor — and the motive power of every man? You will know the answer to these questions when you discover the reason behind the baffling events that play havoc with the lives of the characters in this story. Tremendous in its scope, this novel presents an astounding panorama of human life — from the productive genius who becomes a worthless playboy — to the great steel industrialist who does not know that he is working for his own destruction — to the philosopher who becomes a pirate — to the composer who gives up his career on the night of his triumph — to the woman who runs a transcontinental railroad — to the lowest track worker in her Terminal tunnels. You must be prepared, when you read this novel, to check every premise at the root of your convictions.This is a mystery story, not about the murder — and rebirth — of man’s spirit. It is a philosophical revolution, told in the form of an action thriller of violent events, a ruthlessly brilliant plot structure and an irresistible suspense. Do you say this is impossible? Well, that is the first of your premises to check.","['Fiction', 'Classics', 'Philosophy', 'Politics', 'Literature', 'Science Fiction', 'Novels']"
84,Wings,Aprilynne Pike,"Laurel was mesmerized, staring at the pale things with wide eyes. They were terrifyingly beautiful—too beautiful for words.Laurel turned to the mirror again, her eyes on the hovering petals that floated beside her head. They looked almost like wings.In this extraordinary tale of magic and intrigue, romance and danger, everything you thought you knew about faeries will be changed forever.","['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Fairies', 'Fae', 'Fiction']"
85,Wither,Lauren DeStefano,"By age sixteen, Rhine Ellery has four years left to live. She can thank modern science for this genetic time bomb. A botched effort to create a perfect race has left all males with a lifespan of 25 years, and females with a lifespan of 20 years. Geneticists are seeking a miracle antidote to restore the human race, desperate orphans crowd the population, crime and poverty have skyrocketed, and young girls are being kidnapped and sold as polygamous brides to bear more children. When Rhine is kidnapped and sold as a bride, she vows to do all she can to escape. Her husband, Linden, is hopelessly in love with her, and Rhine can't bring herself to hate him as much as she'd like to. He opens her to a magical world of wealth and illusion she never thought existed, and it almost makes it possible to ignore the clock ticking away her short life. But Rhine quickly learns that not everything in her new husband's strange world is what it seems. Her father-in-law, an eccentric doctor bent on finding the antidote, is hoarding corpses in the basement. Her fellow sister wives are to be trusted one day and feared the next, and Rhine is desperate to communicate to her twin brother that she is safe and alive. Will Rhine be able to escape--before her time runs out?Together with one of Linden's servants, Gabriel, Rhine attempts to escape just before her seventeenth birthday. But in a world that continues to spiral into anarchy, is there any hope for freedom?","['Young Adult', 'Dystopia', 'Romance', 'Science Fiction', 'Fantasy', 'Fiction', 'Teen']"
86,Ironside,Holly Black,"In the realm of Faerie, the time has come for Roiben's coronation. Uneasy in the midst of the malevolent Unseelie Court, pixie Kaye is sure of only one thing -- her love for Roiben. But when Kaye, drunk on faerie wine, declares herself to Roiben, he sends her on a seemingly impossible quest. Now Kaye can't see or speak to Roiben unless she can find the one thing she knows doesn't exist: a faerie who can tell a lie.  Miserable and convinced she belongs nowhere, Kaye decides to tell her mother the truth -- that she is a changeling left in place of the human daughter stolen long ago. Her mother's shock and horror sends Kaye back to the world of Faerie to find her human counterpart and return her to Ironside. But once back in the faerie courts, Kaye finds herself a pawn in the games of Silarial, queen of the Seelie Court. Silarial wants Roiben's throne, and she will use Kaye, and any means necessary, to get it. In this game of wits and weapons, can a pixie outplay a queen?  Holly Black spins a seductive tale at once achingly real and chillingly enchanted, set in a dangerous world where pleasure mingles with pain and nothing is exactly as it appears.","['Fantasy', 'Young Adult', 'Urban Fantasy', 'Fae', 'Fairies', 'Romance', 'Paranormal']"
87,The Other Boleyn Girl,Philippa Gregory,"This is an alternate cover edition of ISBN 9780743227445Two sisters competing for the greatest prize: The love of a kingWhen Mary Boleyn comes to court as an innocent girl of fourteen, she catches the eye of Henry VIII. Dazzled, Mary falls in love with both her golden prince and her growing role as unofficial queen. However, she soon realises just how much she is a pawn in her family's ambitious plots as the king's interest begins to wane and she is forced to step aside for her best friend and rival: her sister, Anne. Then Mary knows that she must defy her family and her king and take fate into her own hands.A rich and compelling novel of love, sex, ambition, and intrigue, The Other Boleyn Girl introduces a woman of extraordinary determination and desire who lived at the heart of the most exciting and glamourous court in Europe and survived by following her heart.","['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Adult', 'British Literature', 'Historical Romance']"
88,Amphigorey,Edward Gorey,"The title of this deliciously creepy collection of Gorey's work stems from the word amphigory, meaning a nonsense verse or composition. As always, Gorey's painstakingly cross-hatched pen and ink drawings are perfectly suited to his oddball verse and prose. The first book of 15, ""The Unstrung Harp,"" describes the writing process of novelist Mr. Clavius Frederick Earbrass: ""He must be mad to go on enduring the unexquisite agony of writing when it all turns out drivel."" In ""The Listing Attic,"" you'll find a set of quirky limericks such as ""A certain young man, it was noted, / Went about in the heat thickly coated; / He said, 'You may scoff, / But I shan't take it off; / Underneath I am horribly bloated.' ""Many of Gorey's tales involve untimely deaths and dreadful mishaps, but much like tragic Irish ballads with their perky rhythms and melodies, they come off as strangely lighthearted. ""The Gashlycrumb Tinies,"" for example, begins like this: ""A is for AMY who fell down the stairs, B is for BASIL assaulted by bears,"" and so on. An eccentric, funny book for either the uninitiated or diehard Gorey fans.Contains: The Unstrung Harp, The Listing Attic, The Doubtful Guest, The Object Lesson, The Bug Book, The Fatal Lozenge, The Hapless Child, The Curious Sofa, The Willowdale Handcar, The Gashlycrumb Tinies, The Insect God, The West Wing, The Wuggly Ump, The Sinking Spell, and The Remembered Visit.","['Art', 'Humor', 'Graphic Novels', 'Comics', 'Fiction', 'Poetry', 'Horror']"
89,The Selection,Kiera Cass,"For thirty-five girls, the Selection is the chance of a lifetime. The opportunity to escape the life laid out for them since birth. To be swept up in a world of glittering gowns and priceless jewels. To live in a palace and compete for the heart of gorgeous Prince Maxon.But for America Singer, being Selected is a nightmare. It means turning her back on her secret love with Aspen, who is a caste below her. Leaving her home to enter a fierce competition for a crown she doesn't want. Living in a palace that is constantly threatened by violent rebel attacks.Then America meets Prince Maxon. Gradually, she starts to question all the plans she's made for herself—and realizes that the life she's always dreamed of may not compare to a future she never imagined.","['Romance', 'Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Audiobook']"
90,The Wind-Up Bird Chronicle,"Haruki Murakami, Jay Rubin (Translator)","Japan's most highly regarded novelist now vaults into the first ranks of international fiction writers with this heroically imaginative novel, which is at once a detective story, an account of a disintegrating marriage, and an excavation of the buried secrets of World War II. In a Tokyo suburb a young man named Toru Okada searches for his wife's missing cat. Soon he finds himself looking for his wife as well in a netherworld that lies beneath the placid surface of Tokyo. As these searches intersect, Okada encounters a bizarre group of allies and antagonists: a psychic prostitute; a malevolent yet mediagenic politician; a cheerfully morbid sixteen-year-old-girl; and an aging war veteran who has been permanently changed by the hideous things he witnessed during Japan's forgotten campaign in Manchuria. Gripping, prophetic, suffused with comedy and menace, The Wind-Up Bird Chronicle is a tour de force equal in scope to the masterpieces of Mishima and Pynchon.","['Fiction', 'Magical Realism', 'Fantasy', 'Japanese Literature', 'Contemporary', 'Novels', 'Literature']"
91,Choke,Chuck Palahniuk,"Victor Mancini, a medical-school dropout, is an antihero for our deranged times.Needing to pay elder care for his mother, Victor has devised an ingenious scam: he pretends to choke on pieces of food while dining in upscale restaurants. He then allows himself to be “saved” by fellow patrons who, feeling responsible for Victor’s life, go on to send checks to support him.When he’s not pulling this stunt, Victor cruises sexual addiction recovery workshops for action, visits his addled mom, and spends his days working at a colonial theme park.His creator, Chuck Palahniuk, renowned author of classics like Fight Club, is the visionary we need and the satirist we deserve.","['Fiction', 'Contemporary', 'Humor', 'Novels', 'Literature', 'Adult', 'American']"
92,Dragon Dawn,Deborah O'Neill Cordes,"Time snakes between alternate universes. Ever watchful, an alien intelligence survives on Mars, waiting to be found by spacefarers from Earth. The alien’s ultimate goal is to send human astronauts back in time, where they will alter the past and thwart the extinction of the dinosaurs. A race of intelligent dinosaurs, resembling the alien’s extinct species, subsequently evolves to rule the world. But a human female astronaut, through a strange twist of fate, survives the change in the space-time continuum. After finding herself in a dinosaurian body, she must race against time – and the formidable alien – to restore the universe to its rightful course. Book One of the Dinosaurian Time Travel Series.Dragon Dawn takes the intriguing plot device of time travel and uses cutting edge science to produce a new spin on the evolution of intelligence. The subject matter blends fields of study the author, Deborah O’Neill Cordes, loves in equal measure; she holds a bachelor’s degree in zoology and a master’s degree in history. She offers her readers a window into exotic worlds: lushly beautiful, often terrifying – and wholly compelling.","['Time Travel', 'Science Fiction', 'Fantasy', 'Dinosaurs', 'Space', 'Aliens', 'Dragons']"
93,Trainspotting,Irvine Welsh,"''The best book ever written by man or woman . . . Deserves to sell more copies than the Bible"" —Rebel IncTHE BESTSELLING NOVEL THAT INSPIRED DANNY BOYLE’S CULT FILMDescribed by The Sunday Times as ""the voice of punk, grown up, grown wiser and grown eloquent,"" Trainspotting follows the lives of a group of Scottish junkies. Its bleak depiction of drug addiction is vivid and brutal, and has lost none of its power to shock. Choose the book that outraged the critics. Choose the literary phenomenon that defined a generation. Choose Trainspotting by Irvine Welsh.","['Fiction', 'Contemporary', 'Classics', 'Scotland', 'Novels', 'Literature', 'Crime']"
94,One Flew Over the Cuckoo’s Nest,Ken Kesey,"Alternate cover edition of ISBN 9780451163967Tyrannical Nurse Ratched rules her ward in an Oregon State mental hospital with a strict and unbending routine, unopposed by her patients, who remain cowed by mind-numbing medication and the threat of electric shock therapy. But her regime is disrupted by the arrival of McMurphy – the swaggering, fun-loving trickster with a devilish grin who resolves to oppose her rules on behalf of his fellow inmates. His struggle is seen through the eyes of Chief Bromden, a seemingly mute half-Indian patient who understands McMurphy's heroic attempt to do battle with the powers that keep them imprisoned. Ken Kesey's extraordinary first novel is an exuberant, ribald and devastatingly honest portrayal of the boundaries between sanity and madness.","['Fiction', 'Classics', 'Psychology', 'Literature', 'Novels', 'Mental Health', 'School']"
95,Invisible Monsters,Chuck Palahniuk,"She's a catwalk model who has everything: a boyfriend, a career, a loyal best friend. But when a sudden motor 'accident' leaves her disfigured and incapable of speech, she goes from being the beautiful centre of attention to being an invisible monster, so hideous that no one will acknowledge she exists.Enter Brandy Alexander, Queen Supreme, one operation away from being a real woman, who will teach her that reinventing yourself means erasing your past and making up something better, and that salvation hides in the last place you'll ever want to look.The narrator must exact revenge upon Evie, her best friend and fellow model; kidnap Manus, her two-timing ex-boyfriend; and hit the road with Brandy in search of a brand-new past, present and future.","['Fiction', 'Contemporary', 'Thriller', 'Horror', 'Novels', 'Mystery', 'Humor']"
96,Fight Club,Chuck Palahniuk,"Chuck Palahniuk showed himself to be his generation’s most visionary satirist in this, his first book. Fight Club’s estranged narrator leaves his lackluster job when he comes under the thrall of Tyler Durden, an enigmatic young man who holds secret after-hours boxing matches in the basement of bars. There, two men fight ""as long as they have to."" This is a gloriously original work that exposes the darkness at the core of our modern world.","['Fiction', 'Classics', 'Thriller', 'Novels', 'Mystery', 'Literature', 'Adult']"
97,Requiem for a Dream,"Hubert Selby Jr., Darren Aronofsky (Foreword), Richard Price (Foreword)","In Coney Island, Brooklyn, lonely widow Sarah Goldfarb wants nothing more than to lose weight and appear on a television game show. In her obsessive quest, she becomes addicted to diet pills, while her junkie son, Harry, along with his girlfriend, Marion, and best friend, Tyrone, attempt to secure an illicit shortcut to wealth and leisure by selling heroin.Entranced by the gleaming visions of their futures, these four convince themselves that unexpected setbacks are only temporary. Even as their lives slowly deteriorate around them, they cling to their delusions and become utterly consumed in a spiral of drugs and addiction, refusing to see that they have instead created their own worst nightmares.""Selby's place is in the front rank of American novelists . . . To understand Selby's work is to understand the anguish of America."" —The New York Times Book Review","['Fiction', 'Classics', 'Thriller', 'Contemporary', 'Mystery', 'Literature', 'Novels']"
98,Cinder,Marissa Meyer,"Humans and androids crowd the raucous streets of New Beijing. A deadly plague ravages the population. From space, a ruthless Lunar people watch, waiting to make their move. No one knows that Earth’s fate hinges on one girl. . . . Cinder, a gifted mechanic, is a cyborg. She’s a second-class citizen with a mysterious past, reviled by her stepmother and blamed for her stepsister’s illness. But when her life becomes intertwined with the handsome Prince Kai’s, she suddenly finds herself at the center of an intergalactic struggle, and a forbidden attraction. Caught between duty and freedom, loyalty and betrayal, she must uncover secrets about her past in order to protect her world’s future.","['Fantasy', 'Young Adult', 'Science Fiction', 'Romance', 'Retellings', 'Fiction', 'Dystopia']"
99,Unearthly,Cynthia Hand,"In the beginning, there's a boy standing in the trees...Clara Gardner has recently learned that she's part angel. Having angel blood run through her veins not only makes her smarter, stronger, and faster than humans (a word, she realizes, that no longer applies to her), but it means she has a purpose, something she was put on this earth to do. Figuring out what that is, though, isn't easy.Her visions of a raging forest fire and an alluring stranger lead her to a new school in a new town. When she meets Christian, who turns out to be the boy of her dreams (literally), everything seems to fall into place and out of place at the same time. Because there's another guy, Tucker, who appeals to Clara's less angelic side.As Clara tries to find her way in a world she no longer understands, she encounters unseen dangers and choices she never thought she'd have to make between honesty and deceit, love and duty, good and evil. When the fire from her vision finally ignites, will Clara be ready to face her destiny?Unearthly is a moving tale of love and fate, and the struggle between following the rules and following your heart.","['Young Adult', 'Fantasy', 'Angels', 'Paranormal', 'Romance', 'Paranormal Romance', 'Urban Fantasy']"
